The value of Q(S) for S representing networks produced by algorithms.GA(G, C) (Fig.9a)
cout: 15000, 16000, 17000, 18000, 19000, 20000
C = 0: 25.30, 34.21, 44.26, 54.18, 65.01, 76.12
C = 300: 48.58, 59.08, 70.33, 80.37, 91.33, 101.93
C = 600: 60.44, 71.33, 82.84, 93.00, 103.74, 113.85
C = 900: 69.94, 81.07, 92.50, 102.61, 112.98, 122.53
C = 1200: 77.99, 89.10, 100.41, 110.57, 120.57, 129.55
C = 1500: 84.91, 96.17, 107.45, 117.40, 127.00, 135.19
C = 1800: 91.11, 102.50, 113.49, 123.29, 132.44, 139.77
C = 2100: 96.78, 108.25, 119.00, 128.49, 137.14, 142.76
C = 2400: 101.91, 113.39, 123.89, 133.10, 140.90, 143.85
C = 2700: 106.73, 118.10, 128.45, 137.09, 143.14, 143.99
C = 3000: 111.11, 122.38, 132.45, 140.29, 143.90, 144.00

The value of B(S) for S representing networks produced by algorithms.GA(G, C) (Fig.9b)
cout: 15000, 16000, 17000, 18000, 19000, 20000
C = 0: 0.79, 0.71, 0.64, 0.57, 0.49, 0.42
C = 300: 0.61, 0.53, 0.46, 0.39, 0.32, 0.25
C = 600: 0.52, 0.45, 0.37, 0.30, 0.24, 0.17
C = 900: 0.46, 0.38, 0.31, 0.24, 0.18, 0.12
C = 1200: 0.40, 0.33, 0.26, 0.19, 0.13, 0.08
C = 1500: 0.36, 0.28, 0.21, 0.15, 0.09, 0.05
C = 1800: 0.32, 0.24, 0.17, 0.12, 0.06, 0.02
C = 2100: 0.28, 0.21, 0.14, 0.09, 0.04, 0.01
C = 2400: 0.25, 0.17, 0.11, 0.06, 0.02, 0.01
C = 2700: 0.22, 0.15, 0.09, 0.04, 0.01, 0.01
C = 3000: 0.19, 0.12, 0.06, 0.02, 0.01, 0.01

The value of Q(S) for S representing networks produced by algorithms.GR(G, C) (Fig.9c)
cout: 15000, 16000, 17000, 18000, 19000, 20000
R = 0: 25.63, 33.75, 43.41, 53.56, 64.96, 76.02
R = 100: 39.79, 48.68, 58.96, 69.36, 80.85, 91.56
R = 200: 48.68, 57.58, 68.28, 78.89, 90.33, 100.54
R = 300: 56.06, 65.30, 76.07, 86.77, 97.81, 108.07
R = 400: 62.72, 72.08, 82.98, 93.56, 104.41, 114.37
R = 500: 68.98, 78.51, 89.22, 99.67, 110.32, 119.80
R = 600: 74.93, 84.29, 94.91, 105.33, 115.60, 124.52
R = 700: 80.49, 89.65, 100.19, 110.42, 120.35, 128.82
R = 800: 85.61, 94.86, 105.07, 115.34, 124.59, 132.65
R = 900: 90.46, 99.55, 109.64, 119.62, 128.38, 135.71
R = 1000: 95.07, 104.24, 113.95, 123.49, 131.82, 138.49

The value of B(S) for S representing networks produced by algorithms.GR(G, C) (Fig.9d)
cout: 15000, 16000, 17000, 18000, 19000, 20000
R = 0: 0.78, 0.72, 0.65, 0.58, 0.50, 0.42
R = 100: 0.68, 0.61, 0.54, 0.47, 0.39, 0.31
R = 200: 0.61, 0.55, 0.47, 0.40, 0.32, 0.26
R = 300: 0.56, 0.49, 0.42, 0.35, 0.28, 0.21
R = 400: 0.51, 0.45, 0.37, 0.30, 0.23, 0.17
R = 500: 0.47, 0.40, 0.33, 0.26, 0.20, 0.14
R = 600: 0.43, 0.37, 0.29, 0.23, 0.16, 0.11
R = 700: 0.39, 0.33, 0.26, 0.20, 0.14, 0.08
R = 800: 0.36, 0.30, 0.23, 0.17, 0.11, 0.06
R = 900: 0.33, 0.27, 0.20, 0.14, 0.09, 0.04
R = 1000: 0.30, 0.24, 0.17, 0.12, 0.07, 0.03

The value of R returned by algorithms.MRSQ(G, C) (Fig.9e)
cout: 15000, 16000, 17000, 18000, 19000, 20000
C = 0: 2638.10, 2319.00, 2026.80, 1724.30, 1460.30, 1247.85
C = 300: 2336.60, 2012.20, 1728.25, 1420.05, 1163.85, 947.35
C = 600: 2035.45, 1713.05, 1425.40, 1121.35, 861.70, 655.75
C = 900: 1739.85, 1426.30, 1149.00, 869.90, 647.15, 458.50
C = 1200: 1499.95, 1225.00, 965.45, 711.75, 491.25, 308.55
C = 1500: 1343.30, 1068.70, 818.10, 561.90, 344.25, 175.55
C = 1800: 1204.75, 929.70, 671.50, 425.35, 224.05, 75.91
C = 2100: 1066.95, 790.15, 534.05, 310.35, 126.94, 15.53
C = 2400: 938.70, 662.95, 422.30, 210.80, 50.71, 1.17
C = 2700: 822.20, 555.25, 328.85, 125.59, 8.56, 0.00
C = 3000: 720.60, 465.50, 241.70, 55.43, 0.25, 0.00

